data_year,criminal_act_id,offense_id
2021,6,164376539
2021,6,164376540
2021,6,162951859
2021,6,162945940
2021,9,164376541
2021,9,178231416
2021,6,164376555
2021,6,164376556
2021,9,164376558
2021,9,165316378
2021,9,166671422
2021,6,165316387
2021,9,167965252
2021,6,166671426
2021,9,166671431
2021,9,167965255
2021,8,167965256
2021,6,167965257
2021,6,167965264
2021,6,167965265
2021,9,167965267
2021,6,167965270
2021,6,167965271
2021,3,169330471
2021,6,169330471
2021,8,169330471
2021,3,169330472
2021,6,169330472
2021,3,169330473
2021,9,170401286
2021,9,171541296
2021,6,171541299
2021,6,171541303
2021,9,177663898
2021,9,173481488
2021,9,173481491
2021,9,174493911
2021,6,175869006
2021,8,175869010
2021,1,175869007
2021,9,177663912
2021,9,164496845
2021,6,166276463
2021,6,166276464
2021,6,166276465
2021,6,166276466
2021,9,167963511
2021,9,161630487
2021,9,161630485
2021,9,161632009
2021,6,163462107
2021,6,163462108
2021,9,163466358
2021,9,164556010
2021,9,165902236
2021,9,165902237
2021,9,165902232
2021,6,169520099
2021,6,169520100
2021,9,166822573
2021,1,168392773
2021,1,168392774
2021,1,168392769
2021,1,168392772
2021,1,168392771
2021,1,168392770
2021,6,169520104
2021,9,169524718
2021,6,170914761
2021,9,170914762
2021,6,170914763
2021,9,172265936
2021,9,172265947
2021,9,172265938
2021,9,172265943
2021,9,172265945
2021,6,172265939
2021,6,172265940
2021,6,172265941
2021,9,174035597
2021,6,174938288
2021,6,174938289
2021,8,178481300
2021,9,176702601
2021,9,176702600
2021,9,166822567
2021,6,161606533
2021,8,161606533
2021,6,161606534
2021,8,161606534
2021,6,167802790
2021,6,161606530
2021,8,161606530
2021,6,161606531
2021,8,161606531
2021,3,163222522
2021,3,163222520
2021,3,163222521
2021,3,163226666
2021,8,173356970
2021,8,173356971
2021,8,167802794
2021,8,167802795
2021,8,167802792
2021,8,167802793
2021,6,167802789
2021,8,167802789
2021,3,167802787
2021,8,167802788
2021,6,167802783
2021,8,167802783
2021,6,167802781
2021,8,167802781
2021,6,167802782
2021,8,167802782
2021,8,167802785
2021,8,167802786
2021,6,167802779
2021,8,167802779
2021,6,167802780
2021,8,167802780
2021,8,167802776
2021,8,167802777
2021,8,167802778
2021,7,167802775
2021,8,167802773
2021,8,167802774
2021,6,169427454
2021,8,169427454
2021,6,169427455
2021,8,169427455
2021,6,175852547
2021,6,164380091
2021,6,161675784
2021,6,161675785
2021,6,162956958
2021,6,164380090
2021,6,166507849
2021,6,166507850
2021,8,166507846
2021,8,166507847
2021,8,166507848
2021,6,175852548
2021,6,175852552
2021,6,169846039
2021,8,169846144
2021,6,180408195
2021,6,180408196
2021,6,162971588
2021,6,177642675
2021,6,174058519
2021,6,174801021
2021,6,175893619
2021,6,175893618
2021,6,164322720
2021,6,164322721
2021,6,164322722
2021,3,164322717
2021,2,164322716
2021,6,164322714
2021,6,164322715
2021,9,164322708
2021,6,164322712
2021,6,164322713
2021,6,164322709
2021,6,164322710
2021,6,164322706
2021,6,164322707
2021,6,164322718
2021,6,164322719
2021,6,164322723
2021,6,164322724
2021,6,164322725
2021,6,166534680
2021,6,166534681
2021,6,166534676
2021,6,166534682
2021,6,166534683
2021,6,166534678
2021,6,166534679
2021,6,168847822
2021,6,168847825
2021,2,171432074
2021,6,171432073
2021,6,171432072
2021,6,171432075
2021,6,178194100
2021,6,178194101
2021,6,178194114
2021,6,178194115
2021,6,178194110
2021,6,178194111
2021,6,178194102
2021,6,178194103
2021,6,178194104
2021,6,178194105
2021,9,163462103
2021,9,163462105
2021,6,169524715
2021,6,169524716
2021,6,179101367
2021,6,175288525
2021,8,175288525
2021,8,179101370
2021,6,179101372
2021,9,169412919
2021,6,180891714
2021,6,180891711
2021,6,180891709
2021,6,171621750
2021,6,171621751
2021,6,167802771
2021,6,171621754
2021,7,171621754
2021,6,179183513
2021,6,162971589
2021,6,161844075
2021,6,179183457
2021,6,179183458
2021,6,179183514
2021,6,179183515
2021,6,161844076
2021,6,161844081
2021,6,162971590
2021,8,175412914
2021,6,161844085
2021,6,162967311
2021,6,162971595
2021,6,162971596
2021,6,162971597
2021,3,162971599
2021,6,162971598
2021,6,162971600
2021,6,162971601
2021,6,162967312
2021,6,162967313
2021,6,164494054
2021,6,164494055
2021,6,162967314
2021,6,162967315
2021,6,161844212
2021,6,162971605
2021,6,162971606
2021,6,162971607
2021,6,162971608
2021,6,162971609
2021,6,162971610
2021,6,162971611
2021,6,162971613
2021,6,161844224
2021,6,162971614
2021,6,162971615
2021,6,162971616
2021,6,162971617
2021,6,162971618
2021,6,162971619
2021,6,162971620
2021,6,162971621
2021,6,161844237
2021,6,162971623
2021,6,162971625
2021,6,162971624
2021,6,161844242
2021,6,162971626
2021,6,162971627
2021,6,162967316
2021,6,162971628
2021,6,162971629
2021,6,161844254
2021,6,161844256
2021,6,161844257
2021,6,162967317
2021,6,162967318
2021,6,162971630
2021,6,162971631
2021,6,162971632
2021,6,162971636
2021,6,162971635
2021,6,162971637
2021,6,162971638
2021,6,162967320
2021,6,162967321
2021,6,164494056
2021,6,164494057
2021,6,164494058
2021,6,162971639
2021,6,162971640
2021,6,164494060
2021,6,164494061
2021,6,164494062
2021,6,164494063
2021,6,162971647
2021,6,162967327
2021,6,164494064
2021,6,164494065
2021,6,164494066
2021,6,162971652
2021,6,164494068
2021,6,164494069
2021,6,162971654
2021,6,162971655
2021,6,162967333
2021,6,164494070
2021,6,164494071
2021,6,162967336
2021,6,162967337
2021,6,162971658
2021,6,164494264
2021,6,164494073
2021,6,164494075
2021,8,164494075
2021,6,164494076
2021,6,162971661
2021,8,162971662
2021,6,162971663
2021,6,162967345
2021,6,164494078
2021,6,164494079
2021,6,164494080
2021,6,164494082
2021,6,164494083
2021,6,162971671
2021,6,164494084
2021,6,162967348
2021,6,162971673
2021,6,162971677
2021,6,162971678
2021,6,164494085
2021,6,164494086
2021,6,162971684
2021,6,162971685
2021,6,162971686
2021,6,162971690
2021,6,162971691
2021,6,164494087
2021,6,164494088
2021,6,162967354
2021,6,162971694
2021,6,162971695
2021,6,162967356
2021,6,162967357
2021,6,164494091
2021,6,164494092
2021,6,162971707
2021,6,164494094
2021,6,164494095
2021,8,164494096
2021,6,164494097
2021,6,164494103
2021,6,164494104
2021,6,164494108
2021,6,164494109
2021,6,164494110
2021,6,164494111
2021,6,164494112
2021,6,164494114
2021,6,164494115
2021,6,175680698
2021,6,175680699
2021,6,164494119
2021,6,164494120
2021,6,164494125
2021,6,164494126
2021,6,164494129
2021,6,164494130
2021,6,164494131
2021,6,164494132
2021,6,164494133
2021,6,164494134
2021,6,164494135
2021,6,164494136
2021,6,164494137
2021,6,164494138
2021,6,164494139
2021,6,164494140
2021,6,164494141
2021,6,164494142
2021,6,164494143
2021,6,164494149
2021,6,164494155
2021,6,164494156
2021,6,164494157
2021,6,164494158
2021,6,164494159
2021,6,164494266
2021,6,164494267
2021,6,164494268
2021,6,164494269
2021,6,164494270
2021,6,164494271
2021,6,164494276
2021,6,164494279
2021,6,164494285
2021,6,164494288
2021,6,164494289
2021,6,164494294
2021,6,164494295
2021,6,172621477
2021,6,172621462
2021,6,172621463
2021,6,172621480
2021,6,172621479
2021,6,172621481
2021,6,172621482
2021,6,179627128
2021,6,179627129
2021,6,179627130
2021,6,172621464
2021,6,172621465
2021,6,172621515
2021,6,172621483
2021,9,172621484
2021,6,172621502
2021,9,172621486
2021,6,172621516
2021,6,172621517
2021,6,172621504
2021,9,179627132
2021,6,179627133
2021,6,179627134
2021,6,172621468
2021,6,172621469
2021,6,172621518
2021,6,172621519
2021,6,172621520
2021,12,172621460
2021,6,172621488
2021,6,172621521
2021,6,172621522
2021,6,172621490
2021,6,172621491
2021,9,175412916
2021,9,172621524
2021,6,172621492
2021,6,172621493
2021,6,172621473
2021,6,172621474
2021,9,172621461
2021,6,172621455
2021,6,172621456
2021,6,172621505
2021,6,172621494
2021,6,172621525
2021,6,172621526
2021,6,172621507
2021,6,172621508
2021,6,172621495
2021,6,172621496
2021,9,172621497
2021,6,172621476
2021,6,172621528
2021,6,172621529
2021,6,172621531
2021,6,172621532
2021,6,172621510
2021,8,172621533
2021,6,172621534
2021,6,172621512
2021,6,172621513
2021,8,172621499
2021,6,172621500
2021,9,172621511
2021,9,172621956
2021,3,172621979
2021,6,172621980
2021,9,172621978
2021,9,172621981
2021,6,172621914
2021,6,172621915
2021,6,172621937
2021,6,172621873
2021,3,172621874
2021,3,172621875
2021,9,172621916
2021,6,172621869
2021,6,172621938
2021,6,172621939
2021,6,172621989
2021,9,172621986
2021,6,172621988
2021,6,172621870
2021,6,172621871
2021,6,172621940
2021,6,172621941
2021,6,172621958
2021,6,172621863
2021,6,172622158
2021,6,172622159
2021,9,172621942
2021,6,172621959
2021,6,172621960
2021,9,172621943
2021,6,172621919
2021,6,172621920
2021,9,172621945
2021,9,172621962
2021,9,172621963
2021,9,172621922
2021,6,172621923
2021,12,172621872
2021,6,172621946
2021,6,172621947
2021,6,172621964
2021,6,172621994
2021,6,172621948
2021,2,172621965
2021,6,172621965
2021,6,172621996
2021,6,172621966
2021,6,172621967
2021,6,172621950
2021,3,172622161
2021,6,172621968
2021,6,172621924
2021,8,172621924
2021,9,172621925
2021,2,172622163
2021,6,172622163
2021,9,172621926
2021,6,172622164
2021,6,172622165
2021,6,172621969
2021,6,172621970
2021,6,172621927
2021,8,172621927
2021,6,172621929
2021,8,172621929
2021,6,172621930
2021,8,172621930
2021,9,172621931
2021,9,172621932
2021,6,172621864
2021,6,172621865
2021,6,172621866
2021,6,172621867
2021,9,172621972
2021,6,172621973
2021,6,172621974
2021,9,172622169
2021,9,172621951
2021,9,179627140
2021,6,179627141
2021,6,179627142
2021,6,172622179
2021,6,172622180
2021,6,172621953
2021,6,172622200
2021,6,172622201
2021,6,172622250
2021,6,172621877
2021,6,172621878
2021,9,172622249
2021,9,172622181
2021,6,172622184
2021,6,172622185
2021,9,172622251
2021,6,172622226
2021,6,172622227
2021,6,172622228
2021,6,172622229
2021,6,172622233
2021,6,172622234
2021,9,172622203
2021,6,172622252
2021,6,172622186
2021,6,172622187
2021,6,172622188
2021,6,172622189
2021,6,172622190
2021,6,172622204
2021,6,172622205
2021,9,172621934
2021,6,172622256
2021,9,172622258
2021,6,172622206
2021,6,172622207
2021,6,172622208
2021,9,172622238
2021,9,179627143
2021,6,172622240
2021,6,172622241
2021,6,172622262
2021,6,172622263
2021,9,172622192
2021,6,172622209
2021,6,172622211
2021,9,172621879
2021,6,172622266
2021,6,172622267
2021,6,172622264
2021,6,172621882
2021,6,172621883
2021,6,172621880
2021,6,172622194
2021,6,172622242
2021,6,172622244
2021,6,172621884
2021,6,172621885
2021,6,172622216
2021,6,172622217
2021,9,172622218
2021,6,173604147
2021,6,173604148
2021,9,172622196
2021,9,172622246
2021,6,172622396
2021,6,172622397
2021,9,172621889
2021,6,172622322
2021,6,172622291
2021,6,172622292
2021,6,172622378
2021,6,172622379
2021,6,172622382
2021,6,172622293
2021,6,172622273
2021,6,172621890
2021,6,172621891
2021,6,172622399
2021,6,172622383
2021,6,172622384
2021,6,172622385
2021,6,172622296
2021,6,172622297
2021,9,179627144
2021,6,172622400
2021,6,172622387
