data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,144532753,144560565,7,,
2021,149415299,150218074,6,,
2021,149415298,150218073,6,,
2021,149408092,150208779,5,,1
2021,149408093,150208779,7,1,
2021,149415297,150218072,6,,
2021,137894227,136836256,5,,1
2021,137894228,136836256,7,1,
2021,138789371,137861825,1,,
2021,142368114,142030049,1,,
2021,142368115,142030049,4,,
2021,135271765,133912579,7,2,
2021,135271766,133912580,3,,
2021,135275299,133917387,6,,
2021,141355287,140841754,6,,
2021,141355288,140841754,7,,
2021,135271767,133912581,6,,
2021,135271768,133912582,7,,
2021,141355289,140841755,6,,
2021,141355290,140841755,7,,
2021,146265322,146545844,4,,
2021,146265323,146545844,7,,
2021,136569226,135338213,7,,
2021,135271771,133912584,6,,
2021,137625413,136521179,6,,
2021,136569246,135338238,6,,
2021,136570884,135334942,3,,
2021,136569248,135338240,7,,
2021,137625421,136521185,4,,
2021,138340955,137341229,1,,
2021,147604713,148124237,4,,
2021,147604714,148124237,5,,
2021,147604715,148124237,7,,
2021,137625425,136521187,7,,
2021,137625426,136521189,6,,
2021,137625427,136521190,7,,
2021,137625428,136521192,7,,
2021,137625429,136521193,4,,
2021,138340958,137341234,7,,
2021,138340959,137341235,7,,
2021,140332628,139646769,5,,
2021,140332629,139646769,7,,
2021,147604716,148124238,5,,
2021,147604717,148124238,7,,
2021,147604720,148124241,4,,
2021,147604721,148124241,5,,
2021,147604722,148124241,7,,
2021,138340967,137341240,7,1,
2021,138340968,137341241,4,,
2021,147604723,148124242,5,,
2021,147604724,148124242,7,,
2021,138340969,137341242,7,,
2021,140332630,139646770,7,,
2021,138340970,137341243,2,,
2021,138340971,137341244,6,,
2021,140332631,139646771,4,,
2021,139359146,138524312,6,,
2021,139359147,138524313,2,,
2021,139359144,138524310,7,,
2021,139359148,138524314,7,,
2021,139359149,138524315,7,,
2021,140332632,139646772,5,,1
2021,140332633,139646772,7,2,
2021,140332634,139646774,6,,
2021,140332635,139646775,4,,
2021,140332636,139646776,7,,
2021,140332638,139646778,7,,
2021,140332639,139646779,1,,
2021,140332640,139646779,4,,
2021,140332641,139646780,6,,
2021,140332637,139646777,7,,
2021,140332642,139646781,7,,
2021,141355292,140841757,7,,
2021,140332643,139646783,7,,
2021,140332644,139646784,7,,
2021,140332645,139646785,6,,
2021,141355293,140841758,4,,
2021,141355294,140841759,4,,
2021,141355295,140841760,6,,
2021,142155695,141772640,4,,
2021,142155694,141772639,1,,
2021,142155696,141772641,7,1,
2021,144455559,144464441,7,,
2021,143007214,142771237,4,,
2021,143009254,142773561,7,,
2021,143007215,142771239,7,,
2021,143007216,142771240,7,,
2021,143007217,142771241,6,,
2021,143007218,142771242,7,1,
2021,143007219,142771243,7,,
2021,143007221,142771245,6,,
2021,143007220,142771244,4,,
2021,143007222,142771246,7,1,
2021,147604726,148124244,1,,
2021,147604727,148124244,4,,
2021,143007223,142771247,7,,
2021,143007224,142771248,7,,
2021,145224269,145352917,7,,
2021,143007225,142771249,7,,
2021,146265327,146545849,7,,
2021,144455568,144464453,5,,1
2021,144455569,144464453,7,1,
2021,144455570,144464454,4,,
2021,144455565,144464451,4,,
2021,145224270,145352918,4,,
2021,144455572,144464459,7,,
2021,146265324,146545845,7,,
2021,145224272,145352921,4,,
2021,145224273,145352922,7,1,
2021,145224275,145352924,1,,
2021,145224274,145352923,7,,
2021,146265330,146545851,4,,
2021,147604734,148124252,5,,
2021,147604735,148124252,7,,
2021,146265331,146545852,6,,
2021,146265334,146545855,4,,
2021,146265335,146545856,6,,
2021,146265333,146545854,4,,
2021,146265332,146545853,6,,
2021,139073742,138184057,6,,
2021,139073741,138184056,4,,
2021,139073743,138184058,6,,
2021,139073744,138184059,1,,
2021,138789428,137861873,4,,
2021,138789427,137861871,4,,
2021,135537558,134198001,4,,
2021,135540517,134201342,7,,
2021,135540516,134201342,5,,
2021,135540518,134201343,7,,
2021,136898194,135714781,6,,
2021,137764676,136677408,5,,
2021,137764677,136677408,7,,
2021,139477007,138653855,5,,
2021,139477008,138653855,7,,
2021,137764670,136677403,4,,
2021,137764671,136677404,7,,
2021,137764672,136677405,4,,
2021,137764673,136677406,4,,
2021,137764669,136677402,4,,
2021,141493906,141005604,6,,
2021,139477014,138653863,4,,
2021,140649459,140023966,4,,
2021,143404582,143240030,5,,
