data_year,suspect_using_id,offense_id
2021,1,168073528
2021,4,170442287
2021,4,170442288
2021,1,169495105
2021,4,169495082
2021,1,174658978
2021,3,169495107
2021,3,169495108
2021,1,170442285
2021,1,170442286
2021,4,169495099
2021,4,176155569
2021,4,174658979
2021,4,169495095
2021,4,169495092
2021,4,176155566
2021,4,169495087
2021,4,169495088
2021,2,170442435
2021,4,169495084
2021,4,170442418
2021,4,170442421
2021,4,174658977
2021,4,169495081
2021,4,170442432
2021,4,174658975
2021,4,169495089
2021,4,178191139
2021,3,178191140
2021,4,174658989
2021,4,170442423
2021,4,176155582
2021,4,170442437
2021,4,170442438
2021,4,172075667
2021,4,174658981
2021,1,169495080
2021,4,174658986
2021,4,174658988
2021,4,174658973
2021,4,172075696
2021,4,176155585
2021,4,170442436
2021,4,170442433
2021,4,170442429
2021,4,174658987
2021,4,170442428
2021,1,170442391
2021,4,172075668
2021,4,172075695
2021,4,170442422
2021,4,170442390
2021,4,174658985
2021,4,176155579
2021,3,178191141
2021,1,173260945
2021,1,170442414
2021,4,170442412
2021,3,170442410
2021,3,170442411
2021,4,176155572
2021,4,170442409
2021,3,170442403
2021,4,176155629
2021,4,174658980
2021,4,170442398
2021,4,170442393
2021,4,170442402
2021,3,172075666
2021,4,173260957
2021,2,170442408
2021,3,178191157
2021,3,178191158
2021,3,178191159
2021,4,176160342
2021,1,172075699
2021,4,173260959
2021,4,176155735
2021,4,172075690
2021,1,170442388
2021,4,176161323
2021,4,176155622
2021,4,172075691
2021,4,172075688
2021,4,172075679
2021,3,178191142
2021,3,178191143
2021,4,173260965
2021,1,172075686
2021,4,172075685
2021,1,172075684
2021,4,172075683
2021,1,172075689
2021,4,176155619
2021,4,172287249
2021,3,176161366
2021,4,172075675
2021,4,176155670
2021,4,176155617
2021,4,173260955
2021,4,176155609
2021,4,173260936
2021,4,173260937
2021,4,176155612
2021,4,176155613
2021,4,176155614
2021,4,173260958
2021,4,176155673
2021,1,176155739
2021,4,176160344
2021,4,173260963
2021,4,174659006
2021,4,173260956
2021,1,180077625
2021,3,180077625
2021,1,180077626
2021,3,180077626
2021,4,174658990
2021,4,176155662
2021,1,173260948
2021,3,173260948
2021,1,173260949
2021,3,173260949
2021,4,173260950
2021,4,173260951
2021,4,176155658
2021,4,176155659
2021,4,173260938
2021,4,173260947
2021,1,173260946
2021,4,174659017
2021,4,176155653
2021,4,173260939
2021,4,173260942
2021,4,176155648
2021,4,176155649
2021,4,176161338
2021,4,176161365
2021,4,174659007
2021,4,174659023
2021,4,174659019
2021,4,174659015
2021,4,174659018
2021,4,174659016
2021,1,174659021
2021,4,174659001
2021,4,174659003
2021,3,174659013
2021,3,174659014
2021,4,174659009
2021,4,174659012
2021,4,174659008
2021,4,176161363
2021,4,176155742
2021,4,174659010
2021,4,174659004
2021,4,176161359
2021,3,174658999
2021,3,174659000
2021,4,176161329
2021,4,176161355
2021,2,174658997
2021,4,176160340
2021,4,174658996
2021,1,174658995
2021,4,176161351
2021,4,176161357
2021,4,176161325
2021,4,176161328
2021,4,176161317
2021,4,176161333
2021,4,176161343
2021,4,176161342
2021,4,176161340
2021,4,176161345
2021,4,180077632
2021,4,180077633
2021,4,176161305
2021,4,176161312
2021,3,176161331
2021,3,176161332
2021,4,176161310
2021,3,176161316
2021,3,176161307
2021,3,176161308
2021,1,176161314
2021,4,180077672
2021,4,180077695
2021,3,176161320
2021,3,178191161
2021,2,178191169
2021,4,178191168
2021,4,176160336
2021,2,176160334
2021,4,176160332
2021,4,176161302
2021,4,176161303
2021,4,178229826
2021,4,178191144
2021,4,176160325
2021,3,176160326
2021,1,176160329
2021,3,176160320
2021,3,176160321
2021,4,176160318
2021,3,178191171
2021,1,178191172
2021,3,178191172
2021,1,178191173
2021,4,180077669
2021,4,163816276
2021,4,166796580
2021,4,166796582
2021,1,163222513
2021,3,163222513
2021,3,166796581
2021,1,166796579
2021,3,166796579
2021,3,163222511
2021,3,163222510
2021,4,164757767
2021,4,166796591
2021,4,166796590
2021,4,169431498
2021,4,169431499
2021,3,169431500
2021,3,169431501
2021,4,167977537
2021,1,180060366
2021,1,180060367
2021,1,169431497
2021,4,180060365
2021,1,180060370
2021,3,180060370
2021,4,174700334
2021,4,173590138
2021,3,173590139
2021,4,180070998
2021,3,180070999
2021,4,174700333
2021,4,180070996
2021,4,180070997
2021,1,177398815
2021,1,180060359
2021,1,180060360
2021,4,178231163
2021,3,180070995
2021,3,164729769
2021,3,165902184
2021,4,165902183
2021,4,170693764
2021,4,170693765
2021,4,161291935
2021,4,161291936
2021,4,161288102
2021,4,161288103
2021,4,169330461
2021,3,169330462
2021,3,169330463
2021,3,161291937
2021,4,161291938
2021,1,161288107
2021,3,169330464
2021,3,169330465
