data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,42020117,,51
2021,42785752,,51
2021,42785751,,51
2021,42785750,,51
2021,41904738,,1
2021,42785755,,51
2021,43412317,,51
2021,43412318,,51
2021,43069719,,51
2021,45947476,,51
2021,43412316,,51
2021,45947475,,51
2021,45947478,,51
2021,44673829,,51
2021,44412620,,51
2021,45949910,,3
2021,45949911,,51
2021,44673828,,3
2021,45949909,,51
2021,45296824,,1
2021,45947470,,51
2021,45947471,,51
2021,45949908,,51
2021,42539344,,51
2021,42539345,,51
2021,43388127,,51
2021,41353038,,51
2021,41355273,,9
2021,43388128,,51
2021,42168673,,51
2021,41801573,,51
2021,42168674,,51
2021,42168675,,51
2021,45359904,,9
2021,42168678,,3
2021,42168679,,51
2021,42407058,,51
2021,42407059,,51
2021,43065583,,51
2021,45359906,,51
2021,42407062,,51
2021,42407063,,51
2021,43065584,,51
2021,42753737,,51
2021,42753738,,51
2021,42753739,,51
2021,43065585,,51
2021,43065586,,51
2021,43065587,,51
2021,43065588,,51
2021,43388129,,51
2021,43649758,,51
2021,43929977,,51
2021,44393235,,51
2021,44393236,,51
2021,42196339,,51
2021,42641195,,51
2021,43065113,,51
2021,41464855,,3
2021,41464856,,51
2021,41937984,,51
2021,41933544,,51
2021,42539357,,51
2021,42539355,,51
2021,43431778,,1
2021,42793011,,53
2021,43431780,,51
2021,43432705,,51
2021,43768171,,51
2021,43768172,,51
2021,44089860,,51
2021,44089861,,51
2021,44089862,,1
2021,45132104,,51
2021,45132103,,51
2021,42793004,,51
2021,41445958,,5
2021,41445957,,51
2021,41901936,,5
2021,41901937,,5
2021,41904746,,51
2021,41904745,,51
2021,41904744,,51
2021,41901935,,51
2021,41904743,,51
2021,44365334,,51
2021,43027467,,51
2021,43027466,,51
2021,43027465,,51
2021,43027464,,51
2021,43027462,,51
2021,43027461,,51
2021,43027460,,51
2021,43027463,,51
2021,43027459,,51
2021,43027457,,51
2021,43027458,,51
2021,43027456,,51
2021,43027455,,51
2021,43411205,,51
2021,44365467,,51
2021,44942994,,5
2021,44942995,,5
2021,45495582,,51
2021,41806080,,51
2021,41806081,,51
2021,44835659,,51
2021,44835665,,51
2021,41811149,,51
2021,41519671,,51
2021,41806085,,51
2021,41806086,,51
2021,41806087,,51
2021,41806088,,51
2021,41806089,,51
2021,41811150,,51
2021,42195296,,51
2021,41811151,,51
2021,41519698,,51
2021,41806091,,51
2021,41806092,,51
2021,41806093,,51
2021,41519701,,51
2021,41806094,,51
2021,41806095,,51
2021,41806096,,51
2021,41519705,,51
2021,41806098,,51
2021,41806097,,51
2021,41806099,,51
2021,41806100,,51
2021,41806101,,51
2021,41806102,,51
2021,41806103,,51
2021,41806104,,51
2021,41806105,,51
2021,41519713,,51
2021,41519712,,51
2021,41806106,,51
2021,41811152,,51
2021,41806107,,51
2021,41519717,,51
2021,41811153,,51
2021,41806108,,51
2021,41806109,,51
2021,41806111,,51
2021,41806112,,51
2021,41811154,,51
2021,42195297,,51
2021,42195298,,51
2021,41519721,,51
2021,41806113,,51
2021,42195299,,51
2021,42195300,,51
2021,41806115,,51
2021,41811156,,51
2021,42195301,,51
2021,44899957,,51
2021,41806118,,51
2021,41811157,,51
2021,42195303,,51
2021,42195304,,51
2021,42195305,,51
2021,41806119,,51
2021,42195306,,51
2021,41806120,,51
2021,42195380,,51
2021,42195307,,51
2021,41811163,,51
2021,42195308,,51
2021,41806122,,51
2021,41806123,,51
2021,41806125,,51
2021,41806124,,51
2021,41806126,,51
2021,42195311,,51
2021,42195312,,51
2021,41806128,,51
2021,42195313,,51
2021,41811166,,51
2021,41806130,,51
2021,42195314,,51
2021,41806132,,51
2021,41806133,,51
2021,42195315,,51
2021,41811167,,51
2021,42195316,,51
2021,42195317,,51
2021,41806141,,51
2021,42195318,,51
2021,42195319,,51
2021,42195320,,51
2021,42195321,,51
2021,42195322,,51
2021,42195323,,51
2021,42195324,,51
2021,42195325,,51
2021,42195326,,51
2021,44899958,,51
2021,42195328,,51
2021,42195329,,51
2021,42195330,,51
2021,42195331,,51
2021,42195332,,51
2021,42195333,,51
2021,42195334,,51
2021,42195335,,51
2021,42195336,,51
2021,42195337,,51
2021,42195338,,51
2021,42195339,,51
2021,42195340,,51
2021,42195341,,51
2021,42195342,,51
2021,42195343,,51
2021,42195381,,51
2021,42195382,,51
2021,42195384,,51
2021,42195385,,51
2021,42195386,,51
2021,42195387,,51
2021,42195388,,51
2021,44176597,,51
2021,44176592,,51
2021,44176599,,51
2021,44176598,,51
2021,44176600,,51
2021,45830076,,51
2021,45830077,,51
2021,44176593,,51
2021,44176616,,51
2021,44176601,,51
2021,44176602,,51
2021,44176610,,51
2021,44176617,,51
2021,44176611,,51
2021,44176612,,51
2021,45830078,,51
2021,45830079,,51
2021,44176594,,51
2021,44176618,,51
2021,44176619,,51
2021,44176603,,51
2021,44176620,,51
2021,44176621,,51
2021,44176622,,51
2021,44176604,,3
2021,44176605,,3
2021,44835660,,51
2021,44176623,,51
2021,44176606,,51
2021,44176607,,51
2021,44176595,,51
2021,44176589,,51
2021,44176608,,51
2021,44176624,,51
2021,44176613,,51
2021,44176609,,51
2021,44176596,,51
2021,44176625,,51
2021,44176626,,51
2021,44176627,,51
2021,44176614,,51
2021,44176615,,51
2021,44176628,,51
2021,44176629,,51
2021,44176734,,3
2021,44176743,,51
2021,44176744,,51
2021,44176762,,51
2021,44176714,,51
2021,44176724,,51
2021,44176697,,51
2021,44176715,,51
2021,44176725,,51
2021,44176726,,51
2021,44176746,,51
2021,44176696,,51
2021,44176727,,51
2021,44176693,,51
2021,44176757,,51
2021,44176735,,51
2021,44176728,,51
2021,44176716,,51
2021,44176729,,51
2021,44176736,,51
2021,44176717,,51
2021,44176718,,51
2021,44176730,,51
2021,44176731,,51
2021,44176737,,51
2021,44176747,,51
2021,44176732,,51
