data_year,victim_id,offense_id
2021,156176711,170442423
2021,161872873,176155582
2021,156176727,170442437
2021,156176727,170442438
2021,157803491,172075667
2021,160377030,174658981
2021,155231169,169495080
2021,160377035,174658986
2021,160377037,174658988
2021,160377021,174658973
2021,157803519,172075696
2021,157803520,172075696
2021,161872876,176155585
2021,156176726,170442436
2021,156176723,170442433
2021,156176717,170442429
2021,160377036,174658987
2021,156176716,170442428
2021,156176679,170442391
2021,156176680,170442391
2021,157803492,172075668
2021,157803518,172075695
2021,156176710,170442422
2021,156176678,170442390
2021,160377034,174658985
2021,161872869,176155579
2021,163907455,178191141
2021,158978663,173260945
2021,156176701,170442414
2021,156176702,170442414
2021,156176699,170442412
2021,156176698,170442410
2021,156176698,170442411
2021,161872861,176155572
2021,156176696,170442409
2021,156176697,170442409
2021,156176691,170442403
2021,161872917,176155629
2021,160377029,174658980
2021,156176687,170442398
2021,156176682,170442393
2021,156176690,170442402
2021,157803490,172075666
2021,158978678,173260957
2021,156176695,170442408
2021,163907472,178191157
2021,163907472,178191158
2021,163907472,178191159
2021,161877693,176160342
2021,157803523,172075699
2021,158978681,173260959
2021,161873018,176155735
2021,157803514,172075690
2021,156176676,170442388
2021,161878680,176161323
2021,161872911,176155622
2021,157803515,172075691
2021,157803511,172075688
2021,157803500,172075679
2021,163907456,178191142
2021,163907456,178191143
2021,158978687,173260965
2021,157803508,172075686
2021,157803509,172075686
2021,157803507,172075685
2021,157803506,172075684
2021,157803504,172075683
2021,157803505,172075683
2021,157803512,172075689
2021,157803513,172075689
2021,161872908,176155619
2021,158012557,172287249
2021,161878721,176161366
2021,157803497,172075675
2021,161872953,176155670
2021,161872906,176155617
2021,158978674,173260955
2021,161872899,176155609
2021,158978654,173260936
2021,158978655,173260937
2021,161872902,176155612
2021,161872903,176155613
2021,161872903,176155614
2021,158978679,173260958
2021,158978680,173260958
2021,161872956,176155673
2021,161873022,176155739
2021,161877695,176160344
2021,158978685,173260963
2021,160377055,174659006
2021,158978675,173260956
2021,158978676,173260956
2021,158978677,173260956
2021,165776246,180077626
2021,165776247,180077625
2021,160377039,174658990
2021,160377040,174658990
2021,161872945,176155662
2021,158978667,173260949
2021,158978668,173260948
2021,158978669,173260950
2021,158978669,173260951
2021,158978670,173260950
2021,158978671,173260950
2021,161872942,176155658
2021,161872942,176155659
2021,158978656,173260938
2021,158978666,173260947
2021,158978664,173260946
2021,158978665,173260946
2021,160377065,174659017
2021,161872937,176155653
2021,158978657,173260939
2021,158978659,173260942
2021,161872934,176155648
2021,161872934,176155649
2021,161878694,176161338
2021,161878720,176161365
2021,160377056,174659007
2021,160377071,174659023
2021,160377067,174659019
2021,160377063,174659015
2021,160377066,174659018
2021,160377064,174659016
2021,160377069,174659021
2021,160377050,174659001
2021,160377052,174659003
2021,160377062,174659013
2021,160377062,174659014
2021,160377058,174659009
2021,160377061,174659012
2021,160377057,174659008
2021,161878718,176161363
2021,161873025,176155742
2021,160377059,174659010
2021,160377053,174659004
2021,161878714,176161359
2021,160377049,174658999
2021,160377049,174659000
2021,161878686,176161329
2021,161878710,176161355
2021,160377047,174658997
2021,161877690,176160340
2021,160377046,174658996
2021,160377045,174658995
2021,161878707,176161351
2021,161878712,176161357
2021,161878682,176161325
2021,161878685,176161328
2021,161878675,176161317
2021,161878689,176161333
2021,161878699,176161343
2021,161878698,176161342
2021,161878696,176161340
2021,161878701,176161345
2021,165776253,180077632
2021,165776254,180077633
2021,161878662,176161305
2021,161878668,176161312
2021,161878688,176161331
2021,161878688,176161332
2021,161878666,176161310
2021,161878674,176161316
2021,161878664,176161307
2021,161878664,176161308
2021,161878670,176161314
2021,165776289,180077672
2021,165776309,180077695
2021,161878678,176161320
2021,163907474,178191161
2021,163907481,178191169
2021,163907480,178191168
2021,161877687,176160336
2021,161877685,176160334
2021,161877683,176160332
2021,161878660,176161302
2021,161878660,176161303
2021,163946000,178229826
2021,163907457,178191144
2021,163907458,178191144
2021,161877678,176160325
2021,161877678,176160326
2021,161877680,176160329
2021,161877681,176160329
2021,161877673,176160320
2021,161877673,176160321
2021,161877671,176160318
2021,163907483,178191171
2021,163907483,178191172
2021,163907484,178191173
2021,165776285,180077669
2021,149559270,163816276
2021,152536439,166796580
2021,152536441,166796582
2021,149086409,163222513
2021,152536440,166796581
2021,152536438,166796579
2021,149086407,163222510
2021,149086407,163222511
2021,150505226,164757767
2021,152536449,166796591
2021,152536448,166796590
2021,155167456,169431498
2021,155167457,169431499
2021,155167458,169431500
2021,155167458,169431501
2021,153716616,167977537
2021,165759200,180060366
2021,165759200,180060367
2021,165759201,180060366
2021,155167455,169431497
2021,165759199,180060365
2021,165759204,180060370
2021,160419659,174700334
2021,159307393,173590138
2021,159307394,173590139
2021,165769710,180070998
2021,165769710,180070999
2021,160419658,174700333
2021,165769709,180070996
2021,165769709,180070997
2021,163117499,177398815
2021,165759195,180060359
2021,165759196,180060360
2021,163947290,178231163
2021,165769708,180070995
2021,150477703,164729769
2021,151652025,165902184
2021,151652023,165902183
2021,151652024,165902183
2021,156428477,170693764
2021,156428477,170693765
2021,147150243,161291935
2021,147150242,161291935
2021,147150244,161291936
2021,147145777,161288102
2021,147145777,161288103
2021,155066934,169330462
2021,155066934,169330463
2021,155066935,169330461
2021,147150245,161291937
2021,147150246,161291938
2021,147145780,161288107
2021,155066936,169330465
2021,155066937,169330464
2021,161584824,175868995
2021,161584824,175868996
2021,148818413,162951831
2021,147150248,161291941
2021,150120757,164376539
2021,150120757,164376540
2021,148818453,162951859
2021,148811154,162945940
2021,148811153,162945940
2021,150120758,164376541
2021,150120759,164376541
2021,148818455,162951862
2021,150120767,164376550
2021,150120768,164376550
2021,151060072,165316371
2021,151060073,165316371
2021,163380316,177663889
2021,148823354,162961654
2021,150124425,164380091
2021,147564883,161675784
2021,147564883,161675785
2021,163360438,177642685
2021,148823349,162961649
2021,147564882,161675783
2021,148812158,162956958
2021,148812159,162956959
2021,156741724,171005098
2021,150124424,164380090
2021,152251805,166507849
2021,152251805,166507850
2021,153703340,167963513
2021,152251803,166507846
2021,152251804,166507847
2021,152251804,166507848
2021,153703338,167963512
2021,153703339,167963512
2021,156741722,171005096
2021,155582685,169846145
2021,155582684,169846144
2021,163380317,177663888
2021,163380318,177663888
2021,150120772,164376553
2021,150120773,164376553
2021,163947551,178231416
2021,166096788,180408195
2021,166096788,180408196
2021,156741723,171005097
2021,155582686,169846146
2021,165095195,179380372
2021,163360430,177642676
2021,156741718,171005093
2021,156741719,171005094
2021,156741720,171005094
2021,157279549,171544083
2021,157279548,171544082
2021,163360429,177642675
2021,160079733,174358061
2021,157279547,171544081
2021,159779041,174058519
2021,163360431,177642677
2021,163360436,177642682
2021,159779040,174058518
2021,165095347,179380528
2021,160079731,174358059
2021,160517659,174801021
2021,160517658,174801020
2021,161608780,175893619
2021,163360432,177642678
2021,163360434,177642681
2021,163360435,177642680
2021,150120775,164376555
2021,161608779,175893618
2021,150120775,164376556
2021,150120776,164376557
2021,150120777,164376558
2021,150120778,164376559
2021,150120779,164376560
2021,150120780,164376560
2021,150120781,164376560
2021,151060078,165316376
2021,151060079,165316377
2021,151060080,165316378
2021,151060081,165316378
2021,153705063,167965249
2021,163380319,177663890
2021,163380322,177663894
2021,163380323,177663895
2021,151060086,165316383
2021,151060087,165316384
2021,152412422,166671422
2021,163380324,177663896
2021,151060088,165316385
2021,153705064,167965250
2021,150068153,164322720
2021,150068154,164322721
2021,150068154,164322722
2021,150068151,164322717
2021,150068150,164322716
2021,150068149,164322714
2021,150068149,164322715
2021,153705064,167965251
2021,151060089,165316386
2021,151060090,165316387
2021,153705065,167965252
