data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2021,165339379,170181838,18,
2021,165339379,170181839,18,
2021,158349086,163260384,1,
2021,165339381,170181841,16,
2021,165339381,170181842,16,
2021,165339381,170181843,16,
2021,161126087,166019439,16,
2021,158349117,163260427,21,
2021,158349065,163260360,15,
2021,158349065,163260361,15,
2021,158349103,163260409,26,
2021,158349104,163260409,5,
2021,158349108,163260415,16,
2021,158349531,163260838,14,
2021,158349551,163260857,1,
2021,158349553,163260859,3,
2021,158349752,163261060,16,
2021,158349496,163260800,1,
2021,158349559,163260864,18,
2021,158349559,163260865,18,
2021,158349559,163260866,18,
2021,158349561,163260864,18,
2021,158349561,163260865,18,
2021,158349561,163260866,18,
2021,158349562,163260864,18,
2021,158349562,163260865,18,
2021,158349562,163260866,18,
2021,158349563,163260864,18,
2021,158349563,163260865,18,
2021,158349563,163260866,18,
2021,158349564,163260864,18,
2021,158349564,163260865,18,
2021,158349564,163260866,18,
2021,158349497,163260801,18,
2021,158349518,163260825,27,
2021,158349569,163260871,15,
2021,158349519,163260826,3,
2021,158349454,163260753,8,
2021,158349454,163260754,8,
2021,158349454,163260755,8,
2021,158349455,163260753,16,
2021,158349455,163260754,16,
2021,158349455,163260755,16,
2021,158349456,163260753,16,
2021,158349456,163260754,16,
2021,158349456,163260755,16,
2021,158349521,163260827,17,
2021,158349537,163260843,11,
2021,158349538,163260843,15,
2021,158349539,163260844,16,
2021,158349501,163260805,19,
2021,158349524,163260831,16,
2021,158349739,163261048,18,
2021,158349504,163260808,26,
2021,158349505,163260809,15,
2021,158349509,163260815,17,
2021,158349744,163261053,15,
2021,158349546,163260851,1,
2021,158349511,163260817,18,
2021,158349745,163261054,18,
2021,165339387,170181850,3,
2021,158349747,163261056,16,
2021,158349748,163261056,1,
2021,158349528,163260835,16,
2021,158349465,163260765,24,
2021,158349465,163260766,24,
2021,158349816,163261124,5,
2021,158349817,163261124,16,
2021,158349755,163261063,16,
2021,164084141,168943120,18,
2021,158349750,163261058,16,
2021,158349756,163261064,26,
2021,158349819,163261126,24,
2021,158349774,163261085,16,
2021,158349822,163261130,18,
2021,158349512,163260818,1,
2021,158349826,163261134,3,
2021,158349826,163261135,9,
2021,158349826,163261136,9,
2021,158349803,163261110,14,
2021,158349804,163261110,14,
2021,165339389,170181851,16,
2021,158349763,163261073,16,
2021,158349763,163261074,25,
2021,158349764,163261073,25,
2021,158349764,163261074,16,
2021,158349778,163261089,1,
2021,158349765,163261075,16,
2021,158349467,163260767,3,
2021,158349808,163261118,24,
2021,158349808,163261119,24,
2021,158349787,163261097,21,
2021,158349788,163261097,16,
2021,158349768,163261079,16,
2021,158349813,163261121,24,
2021,158349475,163260777,16,
2021,158349937,163261253,16,
2021,158349815,163261123,18,
2021,158349856,163261167,15,
2021,165339390,170181852,18,
2021,158349940,163261256,1,
2021,158349940,163261257,1,
2021,158349859,163261171,24,
2021,160417734,165315643,21,
2021,158349492,163260796,16,
2021,158349864,163261181,16,
2021,159321416,164233377,3,
2021,159321416,164233378,25,
2021,161932655,166809989,15,
2021,161932655,166809990,5,
2021,161932656,166809989,15,
2021,161932656,166809990,5,
2021,158349841,163261151,3,
2021,158349868,163261187,18,
2021,158349869,163261187,18,
2021,158349870,163261187,18,
2021,158349871,163261187,18,
2021,158349873,163261189,16,
2021,158349844,163261154,9,
2021,158349878,163261195,3,
2021,158349493,163260797,18,
2021,158349850,163261160,19,
2021,158349851,163261161,24,
2021,158349957,163261274,15,
2021,160417731,165315640,18,
2021,158349958,163261275,17,
2021,158349959,163261275,17,
2021,158349960,163261276,1,
2021,158349853,163261163,18,
2021,158349853,163261164,18,
2021,158349983,163261301,21,
2021,158349984,163261302,14,
2021,158349968,163261285,16,
2021,158349985,163261303,16,
2021,158349998,163261319,16,
2021,158349986,163261304,16,
2021,158349986,163261305,25,
2021,158349987,163261304,25,
2021,158349987,163261305,16,
2021,158349999,163261320,1,
2021,158349999,163261321,16,
2021,158350002,163261324,18,
2021,158350003,163261325,21,
2021,158349988,163261306,1,
2021,158349494,163260798,18,
2021,158349973,163261291,18,
2021,158349485,163260790,1,
2021,158350008,163261331,15,
2021,157399607,162325841,16,
2021,157399608,162325842,21,
2021,159321450,164233414,1,
2021,160417737,165315646,16,
2021,159321418,164233379,3,
2021,159321418,164233380,25,
2021,157399591,162325826,15,
2021,157399592,162325826,19,
2021,159321378,164233340,17,
2021,157399640,162325880,21,
2021,157399572,162325808,1,
2021,157399612,162325847,18,
