data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,148003556,11,100,,
2021,148003554,10,,,
2021,148003554,11,20,,
2021,148003550,10,,,
2021,148003550,11,50,,
2021,136806937,42,1000,,
2021,136806934,42,200,,
2021,148003551,10,,,
2021,148003551,11,20,,
2021,145347919,9,0,,
2021,144961322,36,500,,
2021,144961322,41,500,,
2021,145347920,20,1000,,
2021,136898192,3,16000,,
2021,136800665,52,0,,
2021,136800664,9,0,,
2021,136800664,10,,,
2021,136800664,11,35,,
2021,136800664,63,50,,
2021,137678712,51,0,,
2021,136806935,11,2,,
2021,139340244,10,,,
2021,149355574,42,300,,
2021,139340244,11,2,,
2021,137678710,52,0,,
2021,137678716,4,250,,
2021,145553137,21,1343,,
2021,149355571,42,500,,
2021,145553138,21,300,,
2021,137678709,63,100,,
2021,138552315,63,86,,
2021,141497176,38,500,,
2021,141497175,10,,,
2021,141497175,11,5,,
2021,137678714,10,,,
2021,146469714,58,900,2021-03-18,
2021,146469715,58,900,,
2021,140416083,38,25,,
2021,145348008,52,0,,
2021,146469717,52,0,,
2021,146469716,63,300,,
2021,146469712,24,1000,2021-03-14,
2021,146469713,24,1000,,
2021,137678693,16,900,,
2021,141477555,38,15647,,
2021,142323373,6,150,,
2021,140416063,38,1696,,
2021,137678696,19,100,,
2021,137678696,25,50,,
2021,137678699,10,,,
2021,137678699,11,10,,
2021,137678697,42,60,,
2021,137678691,20,1381,,
2021,138552327,50,37,,
2021,137678692,61,1200,,
2021,146469721,63,9,,
2021,139340307,36,200,,
2021,145815821,26,200,,
2021,146469722,10,,,
2021,145347934,38,2338,2021-04-01,
2021,145347935,16,1,,
2021,145347935,36,8,,
2021,145347935,38,2338,,
2021,146469761,36,800,2021-04-01,
2021,146469761,57,2200,2021-04-01,
2021,146469762,36,800,,
2021,146469762,57,2200,,
2021,138555906,52,0,,
2021,138552326,52,0,,
2021,138552325,10,,,
2021,138552325,11,2,,
2021,142185762,24,2000,,
2021,138552320,38,520,,
2021,148687851,11,5,,
2021,145815822,11,5,,
2021,145347925,63,100,,
2021,139343022,20,1,,
2021,148687853,11,20,,
2021,148687854,38,20,,
2021,148687856,3,14000,2021-10-21,
2021,148687858,35,100,,
2021,138552317,42,200,,
2021,138552314,20,100,,
2021,141477580,16,800,2021-06-26,
2021,141477581,16,800,,
2021,138552312,8,25,,
2021,138552312,16,150,,
2021,138552318,10,,,
2021,138552316,16,30,,
2021,139343036,38,100,,
2021,140416064,10,,,
2021,140416064,11,2,,
2021,141477558,21,1,,
2021,139343033,63,500,,
2021,140416065,42,100,,
2021,148687849,52,0,,
2021,139343034,5,1,,
2021,139343034,37,1,,
2021,139343030,8,5,2021-05-10,
2021,139343031,8,5,,
2021,139343028,37,2000,,
