data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2021,11696,142306798,40330397,f,2021-09-17 18:28:29.248,2021-08-09,f,0,6,,ACCEPTED,,X,111946652
2021,11696,148621488,40330397,f,2022-02-09 16:28:17.438,2021-08-31,f,0,6,,ACCEPTED,,X,126980856
2021,11696,148621487,40409161,f,2022-02-09 16:28:16.38,2021-09-03,f,0,6,,ACCEPTED,,X,126980853
2021,11696,148621486,40330397,f,2022-02-09 16:28:15.56,2021-08-01,f,15,6,,ACCEPTED,,X,126980850
2021,11696,148621485,40409161,f,2022-02-09 16:28:14.197,2021-09-14,f,11,6,,ACCEPTED,,X,126980847
2021,11696,148621484,40409161,f,2022-02-09 16:28:12.9,2021-09-19,f,0,6,,ACCEPTED,,X,126980844
2021,11696,147616115,40370929,f,2022-01-21 21:28:04.934,2021-10-14,f,13,6,,ACCEPTED,,X,124162679
2021,11696,145907694,40370929,f,2021-12-15 13:59:40.972,2021-10-28,f,9,6,,ACCEPTED,,X,120253675
2021,11696,145907739,40370930,f,2021-12-15 13:59:43.237,2021-11-02,f,19,6,,ACCEPTED,,X,120253722
2021,11696,148621477,40370930,f,2022-02-09 16:28:06.321,2021-11-03,f,10,6,,ACCEPTED,,X,126980823
2021,11696,148621490,40370930,f,2022-02-09 16:43:05.901,2021-11-15,f,20,6,,ACCEPTED,,X,126980876
2021,11696,148621491,40370930,f,2022-02-09 16:43:07.659,2021-11-24,f,13,6,,ACCEPTED,,X,126980879
2021,11697,133786059,20493557,f,2021-02-01 08:43:28.307989,2021-01-04,f,0,6,,ACCEPTED,,X,93378619
2021,11697,138525140,20493557,f,2021-06-15 20:13:03.903,2021-01-09,t,0,6,,ACCEPTED,,X,103516643
2021,11697,133781034,20493557,f,2021-02-01 08:43:35.024277,2021-01-10,f,0,6,,ACCEPTED,,X,93374346
2021,11697,133786061,20493557,f,2021-02-01 08:43:37.93675,2021-01-15,t,0,6,,ACCEPTED,,X,93378625
2021,11697,133786062,20493557,f,2021-02-01 08:43:40.828733,2021-01-20,t,0,6,,ACCEPTED,,X,93378628
2021,11697,135338242,20493557,f,2021-03-01 19:30:48.797146,2021-01-21,t,0,6,,ACCEPTED,,X,96574392
2021,11697,136481255,20493557,f,2021-04-01 13:43:41.195,2021-01-25,t,0,6,,ACCEPTED,,X,99148242
2021,11697,135334945,20493558,f,2021-03-01 19:30:54.604059,2021-02-17,t,0,6,,WARNINGS,,X,96577914
2021,11697,136481256,20493558,f,2021-04-01 13:43:42.433,2021-02-27,t,0,6,,ACCEPTED,,X,99148245
2021,11697,138525174,40272460,f,2021-06-15 20:13:47.085,2021-03-11,t,0,6,,ACCEPTED,,X,103516805
2021,11697,136481257,40272460,f,2021-04-01 13:43:43.554,2021-03-20,t,0,6,,ACCEPTED,,X,99148248
2021,11697,138525142,40272460,f,2021-06-15 20:13:08.607,2021-03-23,t,0,6,,ACCEPTED,,X,103516658
2021,23281,135339648,40103509,f,2021-03-02 09:28:08.849023,2021-01-03,f,12,6,,ACCEPTED,,X,96585671
2021,11697,138525175,40295082,f,2021-06-15 20:13:47.865,2021-04-10,t,0,6,,ACCEPTED,,X,103516808
2021,11697,144291017,40295082,f,2021-11-01 15:43:05.112,2021-04-28,t,0,6,,ACCEPTED,,X,116554991
2021,11697,139508090,40295082,f,2021-07-01 13:58:39.149,2021-04-29,t,0,6,,ACCEPTED,,X,105858576
2021,11697,144291018,40295082,f,2021-11-01 15:43:07.512,2021-04-30,t,0,6,,ACCEPTED,,X,116554994
2021,11697,138525177,40295083,f,2021-06-15 20:13:49.165,2021-05-10,t,0,6,,ACCEPTED,,X,103516814
2021,11697,138525178,40295083,f,2021-06-15 20:13:50.007,2021-05-15,t,0,6,,ACCEPTED,,X,103516817
2021,11697,139508091,40295083,f,2021-07-01 13:58:40.052,2021-05-20,t,0,6,,ACCEPTED,,X,105858579
2021,23281,136524427,40103509,f,2021-04-05 14:43:18.997,2021-01-04,f,21,6,,ACCEPTED,,X,99265446
