data_year,weapon_id,offense_id,nibrs_weapon_id
2021,31,169431498,
2021,41,180060366,
2021,39,169431497,
2021,3,180070998,
2021,41,178231163,
2021,41,161288107,
2021,41,164376541,
2021,41,178231416,
2021,3,164376556,
2021,41,164376558,
2021,41,165316378,
2021,41,167965252,
2021,41,166671431,
2021,41,167965255,
2021,41,167965267,
2021,3,169330473,
2021,41,170401286,
2021,42,171541296,
2021,38,177663898,
2021,39,177663898,
2021,41,173481488,
2021,41,173481491,
2021,38,174493911,
2021,39,174493911,
2021,41,177663912,
2021,41,164496845,
2021,41,167963511,
2021,41,161630487,
2021,3,161632009,
2021,41,163466358,
2021,41,164556010,
2021,41,165902236,
2021,41,165902232,
2021,3,169520100,
2021,41,169524718,
2021,41,172265936,
2021,41,172265938,
2021,41,172265943,
2021,41,172265945,
2021,1,172265941,
2021,41,174035597,
2021,41,176702601,
2021,41,176702600,
2021,41,166822567,
2021,3,167802790,
2021,41,163222523,
2021,42,173357868,
2021,5,175852547,
2021,41,175852551,
2021,5,175852552,
2021,41,172300707,
2021,41,178231420,
2021,41,161844078,
2021,41,162961654,
2021,39,161675783,
2021,38,162956959,
2021,3,169846144,
2021,41,171005097,
2021,41,179380372,
2021,37,179380372,
2021,21,177642676,
2021,31,177642676,
2021,41,171544081,
2021,41,179380528,
2021,3,164322720,
2021,41,164322708,
2021,41,163462103,
2021,41,163462105,
2021,41,161844080,
2021,21,161844081,
2021,41,175412915,
2021,41,175412925,
2021,41,161844088,
2021,41,161844098,
2021,41,169412919,
2021,41,161844219,
2021,41,165946519,
2021,39,175247220,
2021,41,164729767,
2021,41,165946513,
2021,39,165946515,
2021,41,169516297,
2021,41,169516296,
2021,41,169516295,
2021,41,171621752,
2021,41,171621753,
2021,41,175247226,
2021,1,162971611,
2021,41,161844222,
2021,42,176707700,
2021,41,161844225,
2021,41,162971622,
2021,3,161844267,
2021,41,161844270,
2021,41,162971642,
2021,21,164494059,
2021,3,164494066,
2021,41,175680696,
2021,41,162967329,
2021,41,162967338,
2021,41,162967340,
2021,41,162967344,
2021,41,162971665,
2021,21,162967345,
2021,21,164494083,
2021,41,162971675,
2021,31,162971688,
2021,31,162971687,
2021,41,164494089,
2021,41,164494093,
2021,38,164494100,
2021,41,164494101,
2021,37,164494113,
2021,7,175680697,
2021,41,164494121,
2021,41,164494122,
2021,41,164494151,
2021,41,164494284,
2021,41,164494286,
2021,41,172621486,
2021,41,179627132,
2021,3,172621491,
2021,41,175412916,
2021,41,172621524,
2021,41,172621497,
2021,41,172621511,
2021,42,172621977,
2021,41,172621978,
2021,41,172621981,
2021,3,172621875,
2021,21,172621988,
2021,41,172621945,
2021,38,172621945,
2021,41,172621963,
2021,41,172621922,
2021,21,172621965,
2021,21,172622163,
2021,41,172621931,
2021,39,172621932,
2021,41,172622169,
2021,39,172622169,
2021,39,172621951,
2021,41,179627140,
2021,41,172622249,
2021,41,172622181,
2021,41,172622251,
2021,42,172622203,
2021,31,172622258,
2021,41,179627143,
2021,39,172622192,
2021,41,172621879,
2021,41,172622218,
2021,41,172622196,
2021,42,172622246,
2021,41,172621889,
2021,3,172622385,
2021,41,179627144,
2021,41,174698452,
2021,41,172621911,
2021,41,172622304,
2021,38,173604174,
2021,1,172621886,
2021,41,176217684,
2021,31,172622309,
2021,41,172622310,
2021,41,172622280,
2021,41,172622319,
2021,41,172621912,
2021,42,172622287,
2021,42,172622288,
2021,41,172622290,
2021,31,172622438,
2021,41,172622438,
2021,41,172622440,
2021,41,172622441,
2021,41,172622457,
2021,41,172622460,
2021,41,172622461,
2021,41,172621905,
2021,41,172622467,
2021,41,171664552,
2021,41,173604213,
2021,41,174698455,
2021,41,173604176,
2021,41,173604136,
2021,41,171664594,
2021,41,171664510,
2021,41,173604131,
2021,39,171664603,
2021,41,171664576,
2021,21,171664546,
2021,41,173604139,
2021,41,173604133,
2021,41,173604217,
2021,39,173604156,
2021,41,173604159,
2021,41,173604161,
2021,41,173604220,
2021,42,174698490,
2021,41,174698494,
2021,41,174698495,
2021,42,174698498,
2021,41,176217686,
2021,41,179343122,
2021,41,174698507,
2021,41,173604169,
2021,41,179627146,
2021,41,173604171,
2021,41,179627149,
2021,39,174698481,
2021,39,176217687,
2021,41,174700508,
2021,41,176217705,
2021,3,176217709,
2021,41,176217695,
2021,41,176217722,
2021,3,168657612,
2021,3,168657602,
2021,35,165137647,
2021,5,168657606,
2021,3,168657593,
2021,5,168657610,
2021,7,168657610,
2021,34,168657610,
2021,34,174891593,
2021,3,179563477,
2021,3,179563553,
2021,38,174891546,
2021,41,164495135,
2021,41,161640698,
2021,41,163252505,
