data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,5,149667136,0.001,1,12840788
2021,12,137583577,0.500,1,11059064
2021,12,137583575,3.000,1,11059062
2021,12,137583574,1.000,4,11059061
2021,12,137583573,0.500,1,11059060
2021,5,137583571,1.000,3,11059059
2021,5,137583570,0.500,3,11059058
2021,5,137583569,0.500,3,11059057
2021,12,137583576,0.500,1,11059063
2021,5,137583578,0.500,3,11059065
2021,12,137583579,0.500,1,11059066
2021,12,145915415,0.005,1,12323875
2021,5,135710404,60.000,1,10941585
2021,12,139259863,0.500,1,11338289
2021,5,139259864,0.500,3,11338290
2021,12,139259862,0.500,1,11338288
2021,2,136585446,0.014,1,6793123
2021,3,136583255,1.000,1,3379022
2021,15,136583257,0.500,1,3370557
2021,5,136583258,4.300,1,7057881
2021,5,136585447,18.000,1,6779874
2021,13,137716228,3.000,9,11078647
2021,5,137716228,1.000,1,11078648
2021,5,136585448,1.000,1,6783252
2021,5,135710474,30.300,1,45853
2021,5,140990273,0.500,1,11618613
2021,5,140990276,0.500,3,11618614
2021,12,142927886,1.000,1,11896074
2021,12,142927885,1.000,1,11896073
2021,12,142927884,1.000,1,11896072
2021,5,142927887,0.500,3,11896075
2021,3,136583261,1.000,1,7159583
2021,5,148003549,0.500,3,12607407
2021,4,148003556,1.000,1,12607414
2021,5,148003554,0.500,3,12607412
2021,12,148003550,5.000,1,12607408
2021,5,148003551,0.500,3,12607409
2021,5,136583261,7.800,1,7159584
2021,12,136583262,1.000,1,7038252
2021,12,136583263,0.500,1,3379024
2021,5,136583264,6.200,1,7110727
2021,3,136583264,1.900,1,7110728
2021,2,136583265,1.000,1,7166394
2021,12,136583265,1.780,3,7166395
2021,5,136583267,6.210,1,7159585
2021,15,136583268,2.820,1,7130741
2021,5,136583269,2.000,1,3379025
2021,5,135710489,3.000,1,43966
2021,8,135710489,84.000,9,43967
2021,5,136583270,18.120,1,6991949
2021,5,136583271,1.000,1,7000608
2021,5,136583272,1.100,1,3366855
