data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2021,180077625,150223820,13A,C,28,,
2021,180077626,150223820,13C,C,28,,
2021,174658990,145493976,23H,C,32,,
2021,176155662,146798769,26B,C,15,,
2021,173260948,144269973,13C,C,35,,
2021,173260949,144269973,35A,C,35,,
2021,173260950,144269974,220,C,23,,F
2021,173260951,144269974,290,C,23,,
2021,176155658,146798766,220,C,44,,F
2021,176155659,146798766,280,C,35,,
2021,173260938,144269964,23H,C,25,,
2021,173260947,144269972,290,C,11,,
2021,173260946,144269971,13B,C,35,,
2021,174659017,145494000,35A,C,35,,
2021,176155653,146798762,23H,C,98,,
2021,173260939,144269965,23H,C,25,,
2021,173260942,144269967,23F,C,39,,
2021,176155648,146798759,240,C,39,,
2021,176155649,146798759,26B,C,7,,
2021,176161338,146803787,23F,C,33,,
2021,176161365,146803808,23H,C,25,,
2021,174659007,145493991,23F,C,33,,
2021,174659023,145494006,13B,C,35,,
2021,174659019,145494002,520,C,35,,
2021,174659015,145493998,23H,C,35,,
2021,174659018,145494001,13B,C,35,,
2021,174659016,145493999,35A,C,23,,
2021,174659021,145494004,13A,C,35,,
2021,174659001,145493985,240,C,35,,
2021,174659003,145493987,220,C,35,,N
2021,174659013,145493997,35B,C,28,,
2021,174659014,145493997,35A,C,28,,
2021,174659009,145493993,23H,C,35,,
2021,174659012,145493996,240,C,25,,
2021,174659008,145493992,23D,C,17,,
2021,176161363,146803806,23H,C,25,,
2021,176155742,146798839,26B,C,15,,
2021,174659010,145493994,23H,C,41,,
2021,174659004,145493988,290,C,35,,
2021,176161359,146803804,220,C,35,,N
2021,174658999,145493984,35A,C,33,,
2021,174659000,145493984,35B,C,33,,
2021,176161329,146803779,13C,C,15,,
2021,176161355,146803800,290,C,35,,
2021,174658997,145493982,13C,C,35,,
2021,176160340,146802906,250,C,14,,
2021,174658996,145493981,220,C,35,,F
2021,174658995,145493980,13C,C,35,,
2021,176161351,146803798,23H,C,35,,
2021,176161357,146803802,23H,C,14,,
2021,176161325,146803775,290,C,25,,
2021,176161328,146803778,290,C,25,,
2021,176161317,146803769,13B,C,23,,
2021,176161333,146803782,23D,C,35,,
2021,176161343,146803792,220,C,35,,F
2021,176161342,146803791,290,C,35,,
2021,176161340,146803789,23F,C,35,,
2021,176161345,146803794,23F,C,33,,
2021,180077632,150223826,13B,C,35,,
2021,180077633,150223826,35B,C,35,,
2021,176161305,146803758,23F,C,25,,
2021,176161312,146803764,23H,C,35,,
2021,176161331,146803781,35A,C,25,,
2021,176161332,146803781,35B,C,25,,
2021,176161310,146803762,240,C,35,,
2021,176161316,146803768,35A,C,25,,
2021,176161307,146803760,35A,C,35,,
2021,176161308,146803760,35B,C,35,,
2021,176161314,146803766,13B,C,35,,
2021,180077672,150223857,23H,C,35,,
2021,180077695,150223874,13B,C,25,,
2021,176161320,146803771,35A,C,23,,
2021,178191161,148587752,35B,C,35,,
2021,178191169,148587759,26E,C,15,,
2021,178191168,148587758,290,C,35,,
2021,176160336,146802903,23F,C,35,,
2021,176160334,146802901,26F,A,15,,
2021,176160332,146802899,23H,C,35,,
2021,176161302,146803756,35A,C,25,,
2021,176161303,146803756,35B,C,25,,
2021,178229826,148621985,23H,C,98,,
2021,178191144,148587737,11D,C,35,,
2021,176160325,146802895,35B,C,25,,
2021,176160326,146802895,35A,C,25,,
2021,176160329,146802897,290,C,35,,
2021,176160320,146802891,35A,C,17,,
2021,176160321,146802891,35B,C,17,,
2021,176160318,146802889,35A,C,28,,
2021,178191171,148587761,35A,C,25,,
2021,178191172,148587761,35B,C,25,,
2021,178191173,148587762,13B,C,35,,
2021,180077669,150223854,290,C,24,,
2021,163816276,136031378,13B,C,25,,
2021,166796580,138631477,23H,C,35,,
2021,166796582,138631479,26A,C,35,,
2021,163222513,135605912,13B,C,25,,
2021,166796581,138631478,35B,C,25,,
2021,166796579,138631476,35B,C,25,,
2021,163222511,135605910,35A,C,25,,
2021,163222510,135605910,520,C,25,,
2021,164757767,136859733,240,C,35,,
2021,166796591,138631485,13B,C,35,,
2021,166796590,138631484,13B,C,35,,
2021,169431498,140929195,13A,C,35,,
2021,169431499,140929196,23H,C,35,,
2021,169431500,140929197,35A,C,25,,
2021,169431501,140929197,35B,C,25,,
2021,167977537,139656926,240,C,35,,
2021,180060366,150208783,13B,C,9,,
2021,180060367,150208783,290,C,9,,
2021,169431497,140929194,13A,C,25,,
2021,180060365,150208782,13C,C,35,,
2021,180060370,150208786,35B,C,25,,
2021,174700334,145530509,220,C,35,,F
2021,173590138,144560565,26E,C,22,,
2021,173590139,144560565,35B,C,33,,
2021,180070998,150218074,520,C,45,,
2021,180070999,150218074,35A,C,25,,
2021,174700333,145530508,13C,C,21,,
2021,180070996,150218073,35B,C,25,,
2021,180070997,150218073,35A,C,25,,
2021,177398815,147894319,13C,C,25,,
2021,180060359,150208779,240,C,25,,
2021,180060360,150208779,280,C,25,,
2021,178231163,148623159,13B,C,35,,
2021,180070995,150218072,35A,C,25,,
2021,164729769,136836256,240,C,33,,
2021,165902184,137861825,220,C,98,,F
2021,165902183,137861824,13C,C,35,,
2021,170693764,142030049,220,C,35,,F
2021,170693765,142030049,290,C,35,,
2021,161291935,133912579,240,C,35,,
2021,161291936,133912580,250,C,41,,
2021,161288102,133917387,35A,C,25,,
2021,161288103,133917387,35B,C,25,,
2021,169330461,140841754,23C,C,17,,
2021,169330462,140841754,35A,C,17,,
2021,169330463,140841754,35B,C,17,,
2021,161291937,133912581,35B,C,28,,
2021,161291938,133912582,23H,C,41,,
2021,161288107,133917389,13B,C,35,,
2021,169330464,140841755,23C,C,17,,
2021,169330465,140841755,35A,C,17,,
2021,175868995,146545844,23H,C,35,,
2021,175868996,146545844,290,C,35,,
2021,162951831,135338213,23H,C,98,,
2021,161291941,133912584,35A,C,25,,
2021,164376539,136521179,35A,C,40,,
2021,164376540,136521179,35B,C,40,,
2021,162951859,135338238,35A,C,35,,
2021,162945940,135334942,250,C,7,,
2021,164376541,136521180,13B,C,35,,
2021,162951862,135338240,23H,C,17,,
2021,164376550,136521185,290,C,25,,
2021,165316371,137341229,26E,A,15,,
2021,177663888,148124237,220,C,8,,F
2021,177663889,148124237,290,C,23,,
2021,164376553,136521187,220,C,37,,N
2021,178231416,148623371,13B,C,35,,
2021,164376555,136521189,35B,C,25,,
2021,164376556,136521189,520,C,35,,
2021,164376557,136521190,23H,C,8,,
2021,164376558,136521191,13A,C,35,,
2021,164376559,136521192,23C,C,17,,
2021,164376560,136521193,290,C,9,,
2021,165316376,137341234,23D,C,35,,
2021,165316377,137341235,220,C,35,,N
2021,165316378,137341236,13B,C,25,,
2021,167965249,139646769,23C,C,17,,
2021,177663890,148124238,23H,C,35,,
2021,177663894,148124241,23H,C,14,,
2021,177663895,148124241,290,C,26,,
2021,165316383,137341240,240,C,33,,
2021,165316384,137341241,290,C,1,,
2021,166671422,138524309,13C,C,35,,
2021,177663896,148124242,23H,C,39,,
